stage,family,configuration_id,training_seed,parameter_count,runtime_seconds,artifact_bytes,observed_process_peak_rss_bytes
validation,implicit_als,als__k064__reg0p2__ao20__ownership_only,130363,3792192,33.152547000001505,14056090,
validation,implicit_als,als__k064__reg0p2__ao20__ownership_only,155921,3792192,29.529703500000323,14054327,
validation,implicit_als,als__k064__reg0p2__ao40__capped_log_playtime,104729,3792192,31.131818800000474,14055358,
validation,implicit_als,als__k064__reg0p2__ao40__capped_log_playtime,130363,3792192,28.241671399999177,14056058,
validation,implicit_als,als__k064__reg0p2__ao40__capped_log_playtime,155921,3792192,32.51685709999947,14054582,
validation,implicit_als,als__k064__reg0p2__ao40__log_playtime,104729,3792192,32.98584020000271,14054608,
validation,implicit_als,als__k064__reg0p2__ao40__log_playtime,130363,3792192,28.302724599998328,14055143,
validation,implicit_als,als__k064__reg0p2__ao40__log_playtime,155921,3792192,26.820769399997516,14053520,
validation,implicit_als,als__k064__reg0p2__ao40__ownership_only,104729,3792192,26.187334099999134,14038102,
validation,implicit_als,als__k064__reg0p2__ao40__ownership_only,130363,3792192,29.364117900000565,14039322,
validation,implicit_als,als__k064__reg0p2__ao40__ownership_only,155921,3792192,27.598266299999523,14036636,
validation,feature_sum_bpr_identity,bpr__k032__reg0p0001__lr0p05,104729,1904998,19.694451700001082,6935326,
validation,feature_sum_bpr_identity,bpr__k032__reg0p0001__lr0p05,130363,1904998,14.644695700000739,6919046,
validation,feature_sum_bpr_identity,bpr__k032__reg0p0001__lr0p05,155921,1904998,17.408628099998168,6920475,
validation,feature_sum_bpr_identity,bpr__k032__reg0p001__lr0p05,104729,1904998,14.987596699997084,6935546,
validation,feature_sum_bpr_identity,bpr__k032__reg0p001__lr0p05,130363,1904998,19.431863200003136,6919057,
validation,feature_sum_bpr_identity,bpr__k032__reg0p001__lr0p05,155921,1904998,14.345574999999371,6920263,
validation,feature_sum_bpr_identity,bpr__k064__reg0p0001__lr0p05,104729,3801094,14.415081099999952,13899228,
validation,feature_sum_bpr_identity,bpr__k064__reg0p0001__lr0p05,130363,3801094,14.001374100000248,13894426,
validation,feature_sum_bpr_identity,bpr__k064__reg0p0001__lr0p05,155921,3801094,14.054405500002758,13915600,
