family,identity_and_bias_suppressed,identity_only_result,mean_expected_rank,mean_ndcg_at_10,mean_ndcg_at_20,mean_recall_at_10,mean_recall_at_20,mean_strictly_above,mean_tied_block_size,target_edges,training_seed
popularity,,,51.08692688765502,0.07943337596118076,0.11541608331768638,0.17134355155101905,0.31406057785018454,49.76802872626924,1.637796322771553,30077,
feature_sum_bpr_identity_genre_content_only,True,unavailable,106.79713734747482,0.03583351481913599,0.05934911896081554,0.0715632935795936,0.16517498171132886,102.36735711673371,7.859560461482196,30077,104729
feature_sum_bpr_identity_genre_content_only,True,unavailable,106.62050736443129,0.03429241678876317,0.05919243635165023,0.06914060899111941,0.168552750296405,102.19297137347475,7.85507198191309,30077,130363
feature_sum_bpr_identity_genre_content_only,True,unavailable,106.08825680752734,0.03441697781341485,0.059487701847868085,0.06962679397632203,0.16935002549910919,101.65900854473519,7.858496525584334,30077,155921
