specification,dependent_variable,proxy_label,term,coefficient,hc3_std_error,ci_95_lower,ci_95_upper,p_value,nobs,r_squared
primary_mincost_attributed,log_demand,"mincost_attributed (04.ipynb, primary)",Intercept,0.8422890004887857,0.3904188157390143,0.07708218275353806,1.6074958182240335,0.030974621419438502,238,0.07881924948772467
primary_mincost_attributed,log_demand,"mincost_attributed (04.ipynb, primary)",implied_discount_rate,2.291008076045122,0.6061912794776989,1.1028950005265776,3.479121151563666,0.0001572392549903508,238,0.07881924948772467
primary_mincost_attributed,log_demand,"mincost_attributed (04.ipynb, primary)",n_bundle_items,-0.13367658311705574,0.03819239099358997,-0.20853229394796402,-0.05882087228614748,0.00046511127294560794,238,0.07881924948772467
primary_mincost_attributed,log_demand,"mincost_attributed (04.ipynb, primary)",log_price,0.41603413208616064,0.13421185400357533,0.1529837319408051,0.6790845322315162,0.0019363076626005271,238,0.07881924948772467
primary_mincost_attributed,log_demand,"mincost_attributed (04.ipynb, primary)",is_zero_discount,1.4825676184245642,1.9037502160024016,-2.248714240500491,5.21384947734962,0.43612014507700503,238,0.07881924948772467
raw_users_own_all,log_own_all,users_own_all (03.ipynb raw),Intercept,1.1507683258967922,0.3733570884844231,0.41900187909458875,1.8825347726989956,0.0020546358926935636,238,0.08972729302696092
raw_users_own_all,log_own_all,users_own_all (03.ipynb raw),implied_discount_rate,2.424166974119849,0.5827990951584905,1.2819017373866757,3.566432210853022,3.1891115048860965e-05,238,0.08972729302696092
raw_users_own_all,log_own_all,users_own_all (03.ipynb raw),n_bundle_items,-0.12640314348194442,0.03610038594032395,-0.1971585997529755,-0.05564768721091336,0.000462760385372306,238,0.08972729302696092
raw_users_own_all,log_own_all,users_own_all (03.ipynb raw),log_price,0.3365384873763862,0.12774205829230548,0.08616865381245131,0.5869083209403211,0.008425735023428875,238,0.08972729302696092
raw_users_own_all,log_own_all,users_own_all (03.ipynb raw),is_zero_discount,2.403091193798257,1.7215086709696363,-0.9710038003756445,5.777186187972158,0.1627380956681762,238,0.08972729302696092
reach_users_own_any,log_own_any,users_own_any (reach),Intercept,2.149150792557722,0.4889752566764122,1.1907769001407253,3.1075246849747185,1.1066378351362796e-05,238,0.20650598857227187
reach_users_own_any,log_own_any,users_own_any (reach),implied_discount_rate,2.367995675503969,0.7204879112374579,0.95586531818206,3.7801260328258777,0.001013847211799209,238,0.20650598857227187
reach_users_own_any,log_own_any,users_own_any (reach),n_bundle_items,0.027978221168945747,0.02747094593425493,-0.02586384348344094,0.08182028582133244,0.3084566070013499,238,0.20650598857227187
reach_users_own_any,log_own_any,users_own_any (reach),log_price,0.7873376844465527,0.15162325180891856,0.49016157168222474,1.0845137972108807,2.0723940067282227e-07,238,0.20650598857227187
reach_users_own_any,log_own_any,users_own_any (reach),is_zero_discount,1.8221685099279643,0.9363953430395888,-0.013132637720658868,3.6574696575765877,0.05166202994890181,238,0.20650598857227187
