set,name,n,sigma_cond,cmm_model,cmm_realised,single_size_realised,single_best_size,de_realised,separate,pure,obs_price_realised,bsp,bsp_over_separate,pure_over_separate,cmm_real_over_de,cmm_model_gap
237,Half-Life 1 Anthology,4,24131.799393821344,167.3602206960665,80.80718984826906,80.80252419904781,4,107.20742310154932,107.41150016532815,107.45845723076911,8.831303305505417,107.45845723076911,1.0004371698129966,1.0004371698129966,0.7537462193427282,0.5171660893360169
1246,BioWare Bundle,4,3559.0154971589573,67.03079181352784,37.05560057567659,36.960155241609755,4,38.074464546854934,40.657398190381976,37.88424116775459,28.466789824007222,38.074464546854934,0.9364707591117312,0.9317920686994818,0.9732402285021103,0.4471853968432728
1009,EA Racing Pack,5,20095.031480360067,76.34100661348948,35.43153002026294,35.31157825936683,5,41.61317002387457,54.16165918802148,41.69338703577093,28.488934877030683,41.69338703577093,0.7697952326577163,0.7697952326577163,0.8514499135714713,0.5358781395213856
951,Command & Conquer Pack,5,13787.395887155142,57.1397233810523,26.055852636446797,26.02761101497672,5,28.68190615748317,39.17520898151318,28.708086368715165,25.494122292418773,28.708086368715165,0.7328125902854159,0.7328125902854159,0.9084421549035984,0.543997571309787
247,F1 Game Franchise Bundle,7,548.5108746695012,34.2413644170221,39.01418349634265,39.22952074486588,7,40.41962491630995,39.616547992016514,40.11607163393019,0.9180927064530685,40.41962491630995,1.0202712493894035,1.012608964365455,0.965228736711998,-0.13938752618595676
710,Sakura Bundle,9,996.1051838700704,48.094461331952566,37.0060312575351,37.32117854310459,9,53.632637602304854,53.269566401141525,53.19907056693558,29.183473460063173,53.632637602304854,1.0068157341178499,0.9986766208368381,0.6899908882337864,0.23055523998666008
CURATED,Top-8 owned priced games,8,45528.21577822029,1108.2835373285168,1027.592277048783,991.5849117273385,8,1085.185395878047,1050.7230280658716,1017.6410353769821,,1085.185395878047,1.0327987175417792,0.9685150207949801,0.9469278530212211,0.07280741575773794
